"iteracion","mejor_valor_enjambre","mejor_posicion_enjambre","diferencia_abs"
44,332.075731478697,"9.55835771868672, 9.55972216766002, 9.53709939678462",0.0897275827288126
45,332.007620772984,"9.5606582508893, 9.54149778615201, 9.52660345469187",0.0681107057125132
46,331.925050277799,"9.5355511973149, 9.57450610202215, 9.56744150700089",0.0825704951857347
47,331.974173661037,"9.52141356782194, 9.53915299398349, 9.5504929599306",0.0491233832387366
48,332.022971953684,"9.5346152921096, 9.53378086525181, 9.53610843085893",0.0487982926470067
49,331.673601146545,"9.54693723695918, 9.59167608565133, 9.52215365549567",0.349370807139223
50,331.981803133334,"9.5228388940773, 9.54025472242996, 9.5413775386611",0.308201986788447
51,332.081069475912,"9.55674513253336, 9.5345173246315, 9.54289166349525",0.0992663425785167
52,332.067792489516,"9.56155006324694, 9.56404183220405, 9.55266753083756",0.0132769863957378
53,331.9764484988,"9.57303798743701, 9.5434084663886, 9.56595613492459",0.0913439907163252
54,331.94472446856,"9.53763055654812, 9.53288577345519, 9.52402689046679",0.0317240302402411
55,332.003584378019,"9.5602049411322, 9.57337061102944, 9.55466103496665",0.0588599094591018
56,331.993993324306,"9.53163833641392, 9.56515953406118, 9.56389927045985",0.00959105371327951
57,332.075582223797,"9.5393971954389, 9.55475335113971, 9.56390266143227",0.0815888994910665
58,331.96752860264,"9.53513094812833, 9.53145027938896, 9.5694231797501",0.108053621157183
59,332.077667852597,"9.55127861615055, 9.53685056143016, 9.56240870857941",0.110139249956887
60,332.095198180314,"9.56461187832995, 9.54815999520477, 9.54883681982856",0.0175303277174521
61,332.12526341117,"9.54122738416493, 9.55030718194663, 9.55264285285123",0.030065230855655
62,332.1258764892,"9.5495993124891, 9.55727962152225, 9.54641727153189",0.000613078029914504
63,332.112533913896,"9.54947337930007, 9.55137173865455, 9.53737994070574",0.0133425753033407
64,332.122470641615,"9.55552612288943, 9.55254368723931, 9.54286835951262",0.00993672771869569
65,332.056558908373,"9.55225698626464, 9.56242056175174, 9.53310926447614",0.0659117332420465
66,332.086257378582,"9.56284701324802, 9.5394369889174, 9.55127558074348",0.0296984702096097
67,332.134517991372,"9.5499939312431, 9.55403679659701, 9.55079454860677",0.0482606127899317
68,332.123509766191,"9.55410581458612, 9.54148474636446, 9.55072170093583",0.0110082251808876
69,332.121079417076,"9.54824821823972, 9.53963690953904, 9.54650322427499",0.00243034911528639
70,332.126640946476,"9.55580067863994, 9.552365632497, 9.54528606283767",0.00556152940026777
71,332.137892988491,"9.54682992270282, 9.55096280777132, 9.54849874117052",0.0112520420149735
72,332.136707393552,"9.54590162262721, 9.55096388453692, 9.55040893122219",0.00118559493967041
73,332.112561884139,"9.54356564819524, 9.53865278431662, 9.55062597554455",0.0241455094131311
74,332.134629217346,"9.5519903515403, 9.54586257085524, 9.55192628728591",0.0220673332072465
75,332.135508202826,"9.54995228858021, 9.54466261068959, 9.55014748391761",0.000878985480028405
76,332.131676274462,"9.55507592507023, 9.5485665399947, 9.55181661979053",0.00383192836420676
77,332.136846799373,"9.55228465517697, 9.548668229423, 9.55132064810375",0.00517052491170489
78,332.138756936412,"9.5502023678366, 9.5487440897365, 9.55095065322542",0.00191013703863518
79,332.139093862177,"9.54865314605537, 9.54880052980975, 9.55067537703594",0.000336925764543139
80,332.138744115011,"9.54750362349369, 9.5488424083441, 9.55047112210335",0.000349747165216741
81,332.138766026755,"9.54753868638115, 9.54886236051351, 9.55047477502505",2.19117441133676e-05
82,332.139076742695,"9.54840834612398, 9.54881874054583, 9.55060756046593",0.000310715939747297
83,332.139089168259,"9.54916173134021, 9.5487711296711, 9.55075701099641",1.24255636251291e-05
84,332.139027658577,"9.54933712907288, 9.5487588138745, 9.55084398558923",6.15096818705752e-05
85,332.139082526974,"9.54890253914798, 9.5487812737068, 9.55075069926151",5.48683970009733e-05
86,332.13909398972,"9.54857444856401, 9.54880946385815, 9.55064895601275",1.14627459311123e-05
87,332.139074361721,"9.54833559861888, 9.54882998628833, 9.55057488692765",1.96279992223936e-05
88,332.139288001654,"9.54792700595982, 9.54934534951637, 9.54947968901364",0.000213639932894694
89,332.13925855107,"9.54812311923154, 9.54942026385943, 9.5483344674409",2.9450583781454e-05
90,332.139125273168,"9.54792760233839, 9.54882584945718, 9.54820282423739",0.000133277902136797
91,332.138970478286,"9.54915794389488, 9.54741244881103, 9.54859783083839",0.000154794881950693
92,332.139300697879,"9.54826488835691, 9.54986048793759, 9.54969473816992",0.000330219593479342
93,332.139355665424,"9.54948968667307, 9.54819413317411, 9.54965750001174",5.49675444290187e-05
94,332.139204866923,"9.54895913013216, 9.55051648900788, 9.54960417263511",0.000150798500328619
95,332.139439503331,"9.54981431585597, 9.54978289273092, 9.54905685932474",0.000234636407299149
96,332.139127533875,"9.55065038181509, 9.54889257208935, 9.54960513550076",0.000311969455196959
97,332.139055921717,"9.54760470745236, 9.54886252748821, 9.54852063721635",7.16121585355722e-05
98,332.139334719843,"9.55014746089547, 9.54909714003196, 9.54851327001288",0.000278798126259971
99,332.139299756887,"9.54889969933689, 9.54941149384326, 9.54794812785072",3.49629557945264e-05
100,332.139319000683,"9.54833176359814, 9.54891927922634, 9.54828740925572",1.9243795861712e-05
101,332.139546477414,"9.5488364501783, 9.54912438653979, 9.54874685707808",0.000227476730913168
102,332.139416832319,"9.54969287725606, 9.54924168891179, 9.54996907128119",0.000129645094830266
103,332.139234214192,"9.55020190794403, 9.54854895584694, 9.54984299658116",0.000182618127666956
104,332.13954611194,"9.54882734547289, 9.54954975740238, 9.54923604454883",0.000311897748645151
105,332.139547592441,"9.54921532455729, 9.54966245383847, 9.54914100400173",1.48050071402395e-06
106,332.139450726895,"9.5485077387249, 9.54949426264833, 9.54865827691338",9.68655455153566e-05
107,332.139561724738,"9.54952419530634, 9.54925993710725, 9.54895801094317",0.000110997842455163
108,332.13951383305,"9.54931895277172, 9.54966371829224, 9.5495493024257",4.78916881547775e-05
109,332.13952598666,"9.54905736341457, 9.54976110792876, 9.54914554039528",1.21536099868536e-05
110,332.139499315014,"9.54916421933808, 9.54981093249134, 9.54945274643604",2.6671646082832e-05
111,332.139580782619,"9.54936945620306, 9.54915708941734, 9.54895859846395",8.14676058098485e-05
112,332.139573998365,"9.54928708761522, 9.54886930889544, 9.54900597742364",6.78425459454957e-06
113,332.139592225608,"9.54920521849137, 9.54926181891987, 9.54905802311381",1.82272433448816e-05
114,332.139585381559,"9.5490654056218, 9.54931914946261, 9.54899639532774",6.84404932371763e-06
115,332.139590100142,"9.54928944412688, 9.54917255438837, 9.54902706729641",4.71858322725893e-06
116,332.139591960991,"9.54906542308417, 9.54927380673191, 9.54920583931221",1.86084855613444e-06
117,332.139588256446,"9.5491311394419, 9.5489443960927, 9.54916066849345",3.70454512221841e-06
118,332.139592097268,"9.54901916579399, 9.54911153138132, 9.54909091843663",3.84082267146368e-06
119,332.139593155812,"9.54911807852934, 9.54902817345014, 9.54918935185014",1.05854422827178e-06
120,332.139585783446,"9.54925897687017, 9.54934174686634, 9.54926280422913",7.37236683789888e-06
121,332.139595195369,"9.54912569282293, 9.54923047293232, 9.54912388448237",9.41192320169648e-06
122,332.13959062424,"9.54918882616181, 9.54900512334921, 9.54924669044674",4.57112849971963e-06
123,332.139592606225,"9.54920372056786, 9.54903706236167, 9.54922640815639",1.9819848375846e-06
124,332.139594020587,"9.54913115935139, 9.54904625793602, 9.54911408236775",1.41436157718999e-06
125,332.139595016141,"9.54909461275916, 9.54910844524166, 9.54910101761049",9.95554273686139e-07
126,332.139593305526,"9.54909250699945, 9.54908568589855, 9.54905878692705",1.71061469700362e-06
127,332.139595461453,"9.54913242646281, 9.54921669636133, 9.54911244960885",2.15592677932364e-06
128,332.139595477983,"9.54908924347506, 9.54918058967842, 9.54912096261991",1.65300093613041e-08
129,332.139595485822,"9.54919691659653, 9.54918408739602, 9.54909694823153",7.83927589509403e-09
130,332.139596566066,"9.5491660854481, 9.54914609228059, 9.54915768230598",1.08024357814429e-06
131,332.139596322987,"9.54916502315337, 9.54913917378044, 9.54912004169863",2.43079341544217e-07
132,332.139596474301,"9.54912898904643, 9.54914626048501, 9.54915608506921",1.51313940932596e-07
133,332.139596527522,"9.54917163680246, 9.5491598823187, 9.54916388717559",5.32218109583482e-08
134,332.139596482113,"9.54914843679025, 9.54917574139377, 9.54916742688831",4.54093651569565e-08
135,332.139596545782,"9.54914716199632, 9.54916828941911, 9.54916321346227",6.36684944765875e-08
136,332.139596559444,"9.54914605981999, 9.54916780055018, 9.54915257992104",1.36621451929386e-08
137,332.139596563782,"9.549156893849, 9.54916468984059, 9.54914356406464",4.33811919720029e-09
138,332.13959656589,"9.54915211462959, 9.5491532460473, 9.54913970985459",2.10866346606053e-09
139,332.139596584559,"9.54915041312931, 9.5491644440682, 9.54915521005919",1.86684019354288e-08
140,332.139596591911,"9.54915058628841, 9.54916172987771, 9.54915754616029",7.35229832571349e-09
141,332.139596593494,"9.54915016945368, 9.54915545763993, 9.54916155823524",1.5828049981792e-09
142,332.139596592013,"9.54914955398816, 9.54915007550484, 9.54916051804633",1.48105527841835e-09
143,332.139596598249,"9.5491549707472, 9.54916038629196, 9.54915715388951",6.23600726612494e-09
144,332.139596605262,"9.54915308286827, 9.54915688866481, 9.54915428142026",7.01339786246535e-09
