"iteracion","mejor_valor_enjambre","mejor_posicion_enjambre","diferencia_abs"
68,332.064273344731,"-9.5529134052414, 9.5547245008144, 9.53034919919045",0.0745786889808642
69,332.096425144672,"-9.56098209992718, 9.54684707831535, 9.53986812227991",0.0321517999408343
70,332.111008070833,"-9.54430273204136, 9.53782738376895, 9.54921607427319",0.0145829261611539
71,332.100607638092,"-9.53961661433764, 9.53978849782152, 9.55451878294919",0.0104004327406528
72,332.109211904144,"-9.54049366867108, 9.54074981477857, 9.55315949789215",0.00860426605208886
73,332.126792745912,"-9.55743893523729, 9.54881071085351, 9.54884635082394",0.0175808417680514
74,332.129098341169,"-9.54299954919679, 9.54971603582874, 9.55337663000208",0.0023055952567006
75,332.136924372328,"-9.54973808491332, 9.55203011568164, 9.54677055661766",0.00782603115931124
76,332.123880378038,"-9.54184430981424, 9.54607745294252, 9.54459545076981",0.0130439942907401
77,332.129552622885,"-9.54278167453144, 9.54608759074166, 9.55102459592164",0.00567224484751705
78,332.125572662995,"-9.5441749683443, 9.55502169741948, 9.54518306848497",0.00397995989072797
79,332.134918111686,"-9.54507321095375, 9.55196428187505, 9.54981076256421",0.00934544869193132
80,332.134718853544,"-9.54429172045766, 9.54774735662854, 9.54976723459583",0.000199258142799863
81,332.135555940366,"-9.54933887750615, 9.55379911459165, 9.54890483277967",0.000837086822343736
82,332.133314867269,"-9.54373134105284, 9.54876047182397, 9.54717698917477",0.00224107309713872
83,332.138548907025,"-9.54859793090031, 9.55137829380305, 9.54974834603554",0.0052340397562034
84,332.135789096175,"-9.55277504396004, 9.54896719835186, 9.55184804049177",0.00275981084962496
85,332.138164764056,"-9.5484149710891, 9.54805755937292, 9.54672640259694",0.00237566788024424
86,332.137386586225,"-9.54866359857745, 9.55123607201287, 9.5464647712922",0.000778177831080029
87,332.136157052773,"-9.54596264364555, 9.55193194346911, 9.54984677294813",0.00122953345174892
88,332.134891357846,"-9.55050441263289, 9.55296828280864, 9.55212800930581",0.00126569492732642
89,332.134259946499,"-9.5529678007777, 9.55277483718221, 9.54818015449693",0.000631411346716959
90,332.137487942745,"-9.54743114478767, 9.55201686251299, 9.54880483650736",0.00322799624643721
91,332.139450113127,"-9.54827375946052, 9.54918388417742, 9.54907374346717",0.00196217038211444
92,332.138215558994,"-9.54825222421064, 9.54739751555103, 9.54729022229857",0.00123455413302054
93,332.138779312755,"-9.54818037680817, 9.54807440136067, 9.54765399060894",0.000563753760218333
94,332.13792698211,"-9.54957507095997, 9.55208400157683, 9.54958207300912",0.00085233064487511
95,332.137144186058,"-9.55191018987755, 9.54691198201816, 9.5498578195551",0.000782796051851165
96,332.137471401327,"-9.54949040414262, 9.54981865779422, 9.55244546194827",0.000327215269066983
97,332.139362059858,"-9.54871579590447, 9.54815256153156, 9.54939394643483",0.00189065853118109
98,332.139491104028,"-9.54971449316601, 9.54865677535998, 9.54920641374754",0.000129044170307679
99,332.139044211029,"-9.5475945068051, 9.54898484148448, 9.54845520212118",0.000446892999605097
100,332.139308113691,"-9.55020210478277, 9.54848826976327, 9.54919167244683",0.000263902661913562
101,332.139503653685,"-9.54985549304048, 9.54912439312754, 9.54922211482073",0.000195539994592764
102,332.139495974198,"-9.54903970644531, 9.54844596198585, 9.54930557258145",7.67948682778297e-06
103,332.139562533035,"-9.54895984191049, 9.54917241151502, 9.54953383969274",6.65588368633507e-05
104,332.139304744151,"-9.54861268764055, 9.54926864436982, 9.54803498267647",0.000257788883970989
105,332.139478402316,"-9.54962221481809, 9.54960124552801, 9.54961627004353",0.000173658164726476
106,332.139553825005,"-9.54934249791508, 9.549012421285, 9.54957049255249",7.54226885533171e-05
107,332.139525468564,"-9.54883366444266, 9.54950320435209, 9.5495490353382",2.83564409642167e-05
108,332.139398923905,"-9.55004105271229, 9.54966178846276, 9.54927052551079",0.00012654465876949
109,332.139481433008,"-9.54977978979709, 9.54944305124914, 9.5487784571421",8.25091033789249e-05
110,332.13957409286,"-9.54897496985579, 9.54919008562741, 9.54885950725336",9.26598514752186e-05
111,332.13952177419,"-9.54945397860405, 9.54860181853509, 9.54908411840427",5.23186699865619e-05
112,332.139584659521,"-9.54940320361857, 9.54917794392581, 9.54919128781787",6.28853313173749e-05
113,332.139586609456,"-9.54918405052356, 9.54921621203482, 9.54893356920044",1.94993509694541e-06
114,332.139555994848,"-9.54926131296608, 9.54886444429031, 9.54880557985758",3.06146079083192e-05
115,332.139567601115,"-9.54910518091973, 9.54952709462309, 9.54927139939744",1.16062665824757e-05
116,332.139588856002,"-9.5490981622496, 9.54900181916446, 9.54927691221876",2.12548873719243e-05
117,332.139586357741,"-9.54909944754615, 9.54898819505994, 9.5493098390738",2.49826115350515e-06
118,332.13958015526,"-9.54925863293323, 9.54902622776125, 9.54940061665187",6.20248096083742e-06
119,332.139593654414,"-9.54919044970558, 9.5492445112498, 9.54907468349947",1.3499153851626e-05
120,332.139591042009,"-9.54902948197651, 9.54924627638894, 9.54922986430147",2.61240518284467e-06
121,332.139569978528,"-9.5488163545322, 9.54903475934931, 9.54927192558441",2.10634808581744e-05
122,332.13956978322,"-9.54888031910141, 9.54907954088821, 9.54940478716848",1.95307620742824e-07
123,332.139584218362,"-9.54890605177936, 9.54917846759032, 9.54909098003898",1.44351420772182e-05
124,332.139592940164,"-9.54905182822438, 9.54912941535932, 9.54924639994375",8.72180117994503e-06
125,332.13959051392,"-9.54916198610727, 9.54924875078993, 9.54930790600653",2.42624327029262e-06
126,332.139594788805,"-9.54912668625163, 9.54921983314271, 9.54908602016409",4.27488447485302e-06
127,332.139593116062,"-9.54925685189259, 9.54912553747458, 9.54923984509528",1.67274293971786e-06
128,332.139592716408,"-9.54916499820314, 9.54907875379005, 9.5492766819746",3.99653742988448e-07
129,332.139594025694,"-9.54922229855655, 9.54913887992502, 9.54924883719651",1.30928611952186e-06
130,332.139596265581,"-9.54916580741749, 9.54919145712085, 9.54917192963024",2.23988666903097e-06
131,332.139596539485,"-9.54915922808359, 9.54913941280478, 9.54916497347559",2.73903879133286e-07
132,332.139596343446,"-9.54914153514398, 9.54918793171385, 9.54916496398709",1.96038399735698e-07
133,332.139596366074,"-9.54914734529323, 9.54913288825028, 9.54918223009971",2.26278302761784e-08
134,332.139596519294,"-9.54914788276691, 9.54917023113716, 9.54916744138819",1.5321984392358e-07
135,332.139596603112,"-9.54915090012431, 9.5491557952813, 9.54915186831262",8.38176106299215e-08
